species,resp_var,response_label,model_id,status,n_rows,n_containers,n_trees,n_boot_target,n_boot_success,n_attempts,n_failures,n_singular_swc,n_singular_response,formula_swc,formula_response,modeled_treatments,seed,source_rds_file,note,run_started_at,run_finished_at,runtime_seconds
fagus,chl,Chlorophyll,fagus__chl,complete,1680,47,140,1000,1000,1000,0,0,0,swc ~ doy_c + doy_c2 + precipitation + robinia + culture + extreme_event +      (1 | boxlabel),y ~ swc + doy_c + doy_c2 + precipitation + robinia + culture +      extreme_event + (1 | boxlabel) + (1 | tree_id),precipitation;robinia;culture;extreme_event,20360821,/Users/pascal/2 Work/projects/2025 ALINV/repository/alien_invasion/output/2026-06-08/both soils (without soil as treatment)/data/model-sem/sem-tree-chlorophyll-chl-fagus-soil-both_without_soil_treatment-noInt-scaled-rfeAIC2-all-swcMeas.rds,NA,2026-08-18 13:48:48 CEST,2026-08-18 13:55:03 CEST,375.7071509361267
fagus,chlavg,Senescence (Chl),fagus__chlavg,complete,1561,38,194,1000,1000,1000,0,0,0,swc ~ doy_c + doy_c2 + precipitation + robinia + culture + extreme_event +      (1 | boxlabel),y ~ swc + doy_c + doy_c2 + precipitation + robinia + culture +      extreme_event + (1 | boxlabel) + (1 | tree_id),precipitation;robinia;culture;extreme_event,20460824,/Users/pascal/2 Work/projects/2025 ALINV/repository/alien_invasion/output/2026-06-08/both soils (without soil as treatment)/data/model-sem/sem-tree-senescence-chlavg-fagus-soil-both_without_soil_treatment-noInt-scaled-rfeAIC2-all-swcMeas.rds,NA,2026-08-18 13:48:48 CEST,2026-08-18 13:55:03 CEST,375.7071509361267
fagus,condition,Vitality,fagus__condition,complete,3080,47,280,1000,1000,1000,0,0,429,swc ~ doy_c + doy_c2 + precipitation + robinia + culture + extreme_event +      (1 | boxlabel),y ~ swc + doy_c + doy_c2 + precipitation + robinia + culture +      extreme_event + (1 | boxlabel) + (1 | tree_id),precipitation;robinia;culture;extreme_event,20560827,/Users/pascal/2 Work/projects/2025 ALINV/repository/alien_invasion/output/2026-06-08/both soils (without soil as treatment)/data/model-sem/sem-tree-condition-condition-fagus-soil-both_without_soil_treatment-noInt-scaled-rfeAIC2-all-swcMeas.rds,NA,2026-08-18 13:48:48 CEST,2026-08-18 13:55:03 CEST,375.7071509361267
fagus,qy,Quantum yield,fagus__qy,complete,1524,47,140,1000,1000,1000,0,0,4,swc ~ doy_c + doy_c2 + precipitation + robinia + culture + extreme_event +      (1 | boxlabel),y ~ swc + doy_c + doy_c2 + precipitation + robinia + culture +      extreme_event + (1 | boxlabel) + (1 | tree_id),precipitation;robinia;culture;extreme_event,20660830,/Users/pascal/2 Work/projects/2025 ALINV/repository/alien_invasion/output/2026-06-08/both soils (without soil as treatment)/data/model-sem/sem-tree-quantum_yield-qy-fagus-soil-both_without_soil_treatment-noInt-scaled-rfeAIC2-all-swcMeas.rds,NA,2026-08-18 13:48:48 CEST,2026-08-18 13:55:03 CEST,375.7071509361267
fagus,remaining_green,Senescence (%),fagus__remaining_green,complete,3640,47,280,1000,1000,1000,0,0,121,swc ~ doy_c + doy_c2 + precipitation + robinia + culture + extreme_event +      (1 | boxlabel),y ~ swc + doy_c + doy_c2 + precipitation + robinia + culture +      extreme_event + (1 | boxlabel) + (1 | tree_id),precipitation;robinia;culture;extreme_event,20760833,/Users/pascal/2 Work/projects/2025 ALINV/repository/alien_invasion/output/2026-06-08/both soils (without soil as treatment)/data/model-sem/sem-tree-senescence-remaining_green-fagus-soil-both_without_soil_treatment-noInt-scaled-rfeAIC2-all-swcMeas.rds,NA,2026-08-18 13:48:48 CEST,2026-08-18 13:55:03 CEST,375.7071509361267
fagus,volume,Volume (total),fagus__volume,complete,2240,47,280,1000,1000,1000,0,0,402,swc ~ doy_c + doy_c2 + precipitation + robinia + culture + extreme_event +      (1 | boxlabel),y ~ swc + doy_c + doy_c2 + precipitation + robinia + culture +      extreme_event + (1 | boxlabel) + (1 | tree_id),precipitation;robinia;culture;extreme_event,20860836,/Users/pascal/2 Work/projects/2025 ALINV/repository/alien_invasion/output/2026-06-08/both soils (without soil as treatment)/data/model-sem/sem-tree-growth-volume-fagus-soil-both_without_soil_treatment-noInt-scaled-rfeAIC2-all-swcMeas-volproxy-annighofer_table4_v1.rds,NA,2026-08-18 13:48:48 CEST,2026-08-18 13:55:03 CEST,375.7071509361267
fagus,volume_inc_phase_rel,Volume (incr.),fagus__volume_inc_phase_rel,complete,2240,47,280,1000,1000,1000,0,0,449,swc ~ doy_c + doy_c2 + precipitation + robinia + culture + extreme_event +      (1 | boxlabel),y ~ swc + doy_c + doy_c2 + precipitation + robinia + culture +      extreme_event + (1 | boxlabel) + (1 | tree_id),precipitation;robinia;culture;extreme_event,20960839,/Users/pascal/2 Work/projects/2025 ALINV/repository/alien_invasion/output/2026-06-08/both soils (without soil as treatment)/data/model-sem/sem-tree-growth-volume_inc_phase_rel-fagus-soil-both_without_soil_treatment-noInt-scaled-rfeAIC2-all-swcMeas-volproxy-annighofer_table4_v1.rds,NA,2026-08-18 13:48:48 CEST,2026-08-18 13:55:03 CEST,375.7071509361267
quercus,chl,Chlorophyll,quercus__chl,complete,1776,49,148,1000,1000,1000,0,0,91,swc ~ doy_c + doy_c2 + precipitation + robinia + culture + extreme_event +      (1 | boxlabel),y ~ swc + doy_c + doy_c2 + precipitation + robinia + culture +      extreme_event + (1 | boxlabel) + (1 | tree_id),precipitation;robinia;culture;extreme_event,21060842,/Users/pascal/2 Work/projects/2025 ALINV/repository/alien_invasion/output/2026-06-08/both soils (without soil as treatment)/data/model-sem/sem-tree-chlorophyll-chl-quercus-soil-both_without_soil_treatment-noInt-scaled-rfeAIC2-all-swcMeas.rds,NA,2026-08-18 13:48:48 CEST,2026-08-18 13:55:03 CEST,375.7071509361267
quercus,chlavg,Senescence (Chl),quercus__chlavg,unavailable,0,0,0,1000,0,0,0,0,0,NA,NA,NA,21160845,/Users/pascal/2 Work/projects/2025 ALINV/repository/alien_invasion/output/2026-06-08/both soils (without soil as treatment)/data/model-sem/sem-tree-senescence-chlavg-quercus-soil-both_without_soil_treatment-noInt-scaled-rfeAIC2-all-swcMeas.rds,No SEM data available after filtering.,2026-08-18 13:48:48 CEST,2026-08-18 13:55:03 CEST,375.7071509361267
quercus,condition,Vitality,quercus__condition,complete,3255,49,296,1000,1000,1000,0,0,187,swc ~ doy_c + doy_c2 + precipitation + robinia + culture + extreme_event +      (1 | boxlabel),y ~ swc + doy_c + doy_c2 + precipitation + robinia + culture +      extreme_event + (1 | boxlabel) + (1 | tree_id),precipitation;robinia;culture;extreme_event,21260848,/Users/pascal/2 Work/projects/2025 ALINV/repository/alien_invasion/output/2026-06-08/both soils (without soil as treatment)/data/model-sem/sem-tree-condition-condition-quercus-soil-both_without_soil_treatment-noInt-scaled-rfeAIC2-all-swcMeas.rds,NA,2026-08-18 13:48:48 CEST,2026-08-18 13:55:03 CEST,375.7071509361267
